"","Protein","x"
"17961","O95473",""
"17962","O43426","hsa00562 hsa01100 hsa04070"
"17963","P57105",""
"17964","O15056","hsa00562 hsa01100 hsa04070"
"17965","A8MT33",""
"17966","Q8N0S2",""
"17967","Q6PIF2",""
"17968","A1L190",""
"17969","Q15431",""
"17970","Q5T4T6",""
"17971","Q9BX26",""
"17972","Q8IZU3","hsa03440"
"17973","Q16563",""
"17974","Q5VXT5",""
"17975","P08247",""
"17976","Q9H987",""
"17977","Q9UMS6",""
"17978","Q8N3V7",""
"17979","Q8TBG9",""
"17980","O00161","hsa04130 hsa04611"
"17981","P60880","hsa04721 hsa04911"
"17982","O95721","hsa04130"
"17983","Q5SQN1",""
"17984","O60641",""
"17985","P21579","hsa04721"
"17986","Q6XYQ8",""
"17987","Q9BT88",""
"17988","Q8IV01",""
"17989","Q7L8C5",""
"17990","Q58G82",""
"17991","Q8NB59",""
"17992","Q9BQS2",""
"17993","Q17RD7",""
"17994","Q9BSW7",""
"17995","Q8N9I0",""
"17996","Q9BQG1",""
"17997","Q9H2B2",""
"17998","O00445",""
"17999","Q5T7P8",""
"18000","O43581",""
"18001","Q8NBV8",""
"18002","Q86SS6",""
"18003","O60506",""
"18004","Q8IYJ3",""
"18005","Q9HCH5",""
"18006","Q4VX76",""
"18007","Q96C24",""
"18008","Q8TDW5",""
"18009","Q9H7C4",""
"18010","Q0VAF6",""
"18011","P18827","hsa04512 hsa04514 hsa05144 hsa05205"
"18012","P34741","hsa04514 hsa05144 hsa05205"
"18013","O75056","hsa04514"
"18014","P31431","hsa04512 hsa04514 hsa05205"
"18015","Q9H190",""
"18016","O00560",""
"18017","O15061",""
"18018","Q9UMZ2",""
"18019","Q86TM6","hsa04120 hsa04141"
"18020","Q9NX95",""
"18021","O15079",""
"18022","O60499","hsa04130"
"18023","O75558","hsa04130"
"18024","Q86Y82","hsa04145"
"18025","O14662","hsa04130"
"18026","P56962","hsa04130"
"18027","Q9P2W9","hsa04130 hsa04145"
"18028","Q8N4C7","hsa04130"
"18029","Q16623","hsa04130 hsa04721 hsa04911 hsa05031"
"18030","P61266","hsa04130 hsa04721"
"18031","P32856","hsa04130 hsa04721"
"18032","Q13277","hsa04130 hsa04721"
"18033","Q12846","hsa04130 hsa04962"
"18034","Q13190","hsa04130"
"18035","O43752","hsa04130"
"18036","O15400","hsa04130 hsa04145"
"18037","Q9UNK0","hsa04130"
"18039","Q15833",""
"18040","O00186",""
"18041","Q6ZWJ1",""
"18042","Q9Y2K9",""
"18043","Q5T5C0",""
"18044","Q8NFX7",""
"18045","Q13424",""
"18046","Q13884",""
"18047","Q13425",""
"18048","Q9NSN8",""
"18049","Q9NY99",""
"18050","Q9Y6H5","hsa05012"
"18051","P37840","hsa05010 hsa05012"
"18052","Q16143",""
"18053","O76070",""
"18054","Q96NA8",""
"18055","P17987",""
"18056","Q12799",""
"18057","B9ZVM9",""
"18058","Q8TDR4, Q9NV44",""
"18059","Q5H9J9",""
"18060","Q9NUJ3",""
"18061","Q8N4U5",""
"18062","Q8WWU5",""
"18063","Q5JU00",""
"18064","Q8IZS6",""
"18065","O75648","hsa04122"
"18066","O14717",""
"18067","Q9H3H1","hsa01100"
"18068","Q7Z2T5",""
"18069","Q9NXH9",""
"18070","Q8TBZ6",""
"18071","Q6PF06",""
"18072","Q7L0Y3",""
"18073","Q7Z4G4",""
"18074","Q9UI30",""
"18075","Q53H54",""
"18076","Q9NUP7",""
"18077","Q8IZ69",""
"18078","Q96GJ1",""
"18079","Q8IYL2",""
"18080","Q32P41",""
"18081","Q9UJA5",""
"18082","Q96FX7",""
"18083","Q9BVS5",""
"18084","Q9BU70",""
"18085","Q96Q11","hsa03013"
"18086","Q86TN4",""
"18087","Q9NX07",""
"18088","Q8WW01",""
"18089","Q8NCE0",""
"18090","Q9BSV6",""
"18091","Q7Z6J9",""
"18092","Q9NWX6",""
"18093","Q6NUM6",""
"18094","Q9NV66",""
"18095","Q6IPR3",""
"18096","A2RUC4",""
"18097","Q9UHF0",""
"18098","Q86UU9",""
"18099","P20366",""
"18100","P25103","hsa04020 hsa04080 hsa05162"
"18101","P21452","hsa04020 hsa04080"
"18102","P29371","hsa04020 hsa04080"
"18103","Q16635","hsa00564"
"18106","Q8N9U0",""
"18107","Q9C0C2",""
"18108","Q9H2K2",""
"18109","O95271",""
"18110","Q4KMQ1",""
"18111","Q96GM8",""
"18112","O75674",""
"18113","Q6ZVM7",""
"18114","O60784",""
"18115","Q9H6P5",""
"18116","Q7RTX1","hsa04742"
"18117","Q8TE23","hsa04742 hsa04973"
"18118","Q7RTX0","hsa04742 hsa04973"
"18119","Q9NYW7","hsa04742"
"18120","Q9NYW0","hsa04742"
"18121","Q9NYV9","hsa04742"
"18122","Q9NYV8","hsa04742"
"18123","Q9NYV7","hsa04742"
"18124","P59542","hsa04742"
"18125","P59543","hsa04742"
"18126","Q9NYW6","hsa04742"
"18127","P59541","hsa04742"
"18128","P59538","hsa04742"
"18129","P59533","hsa04742"
"18130","P59534","hsa04742"
"18131","Q9NYW5","hsa04742"
"18132","P59535","hsa04742"
"18133","P59536","hsa04742"
"18134","Q7RTR8","hsa04742"
"18135","P59537","hsa04742"
"18136","P59539","hsa04742"
"18137","P59540","hsa04742"
"18138","Q9NYW4","hsa04742"
"18139","P59544","hsa04742"
"18140","P59551","hsa04742"
"18141","Q9NYW3","hsa04742"
"18142","Q9NYW2","hsa04742"
"18143","Q9NYW1","hsa04742"
"18144","Q5TCY1",""
"18145","Q6IQ55",""
"18146","P40222",""
"18147","Q8N3L3",""
"18148","Q9BZA5",""
"18149","Q9NUQ3",""
"18150","Q6ZSZ6",""
"18151","Q9NRE2",""
"18152","Q63HK5",""
"18153","P42680","hsa04380 hsa04660"
"18154","Q2MV58",""
"18155","Q96GX1",""
"18156","Q6NUS6",""
"18157","Q7Z6L1",""
"18158","O15040",""
"18159","O75443",""
"18160","Q96PL2",""
"18161","Q969V4",""
"18162","Q9UIF3",""
"18163","Q9BXF9",""
"18164","Q8WW24",""
"18165","Q96M29",""
"18166","Q99973",""
"18167","O14746","hsa05166"
"18168","Q9Y4R8","hsa03460"
"18169","Q8NA31",""
"18170","Q8NHR7",""
"18171","P54274",""
"18172","Q15554",""
"18174","Q9UQP3","hsa04151 hsa04510 hsa04512 hsa05206"
"18175","Q92752","hsa04151 hsa04510 hsa04512 hsa05206"
"18176","Q16473",""
"18177","P22105","hsa04151 hsa04510 hsa04512 hsa05206"
"18178","Q9UKZ4",""
"18179","Q9NT68",""
"18180","Q9P273",""
"18181","Q6N022",""
"18182","Q9H2S6",""
"18183","Q9HBL0",""
"18184","Q63HR2",""
"18185","Q68CZ2",""
"18186","Q8IZW8",""
"18187","P51864",""
"18188","P13385",""
"18189","Q9H6E5",""
"18190","Q96BS2",""
"18191","Q9UGI8",""
"18192","Q8N9V7",""
"18193","Q3Y452",""
"18194","Q86YL5",""
"18195","Q9NXF1",""
"18196","Q9BY14",""
"18197","Q8IYF3",""
"18198","Q9BXU0",""
"18199","Q9BXU3",""
"18200","Q9BXU2",""
"18201","Q8IWB6",""
"18202","Q9BXT5",""
"18203","Q8NA77",""
"18204","Q8IWB9",""
"18205","C9J3V5",""
"18206","Q8N6G2",""
"18207","Q6UWH6",""
"18208","Q9Y6I9",""
"18209","O15482",""
"18210","Q8N6K0",""
"18211","Q5JUR7",""
"18212","O43247",""
"18213","Q5T0J7",""
"18214","Q5VZQ5",""
"18215","Q96LM6",""
"18216","Q6PEX7",""
"18217","Q9NTU4",""
"18218","Q6ZNM6",""
"18219","Q8N6V9",""
"18220","Q9Y4I5",""
"18221","Q3SY00",""
"18222","Q9BZW7",""
"18223","Q96PP4",""
"18224","Q01534",""
"18225","A6NKD2",""
"18226","Q9H489",""
"18227","P0CV98",""
"18228","P0CV99, P0CW01",""
"18229","P0CW00",""
"18230","Q9BXA7",""
"18231","Q96PF2",""
"18232","Q96PN8",""
"18233","Q6SA08",""
"18234","Q9BXA6",""
"18235","Q9UJT2",""
"18236","Q6URK8",""
"18237","Q15569",""
"18238","Q96S53",""
"18239","Q9BZA0",""
"18240","Q9BZ98",""
"18241","Q9BZ97",""
"18242","Q8NFU7",""
"18243","Q6N021",""
"18244","O43151",""
"18245","Q8N7U7",""
"18246","Q17RH7",""
"18247","O60635",""
"18248","Q9H1Z9",""
"18249","A1L157",""
"18250","O95859",""
"18251","O95857",""
"18252","Q8NG11",""
"18253","O95858",""
"18254","Q9UKR8",""
"18255","Q96FV3",""
"18256","Q96SJ8",""
"18257","P0C672",""
"18258","O60636",""
"18259","O60637",""
"18260","Q12999",""
"18261","Q96QS1",""
"18262","Q86UF1",""
"18263","O14817",""
"18264","P62079",""
"18265","O43657",""
"18266","P41732","hsa05202"
"18267","P19075",""
"18268","O75954",""
"18269","O15050",""
"18270","Q99614",""
"18271","Q9H892",""
"18272","Q8NBP0",""
"18273","Q96N46",""
"18274","Q8NEE8",""
"18275","Q96AE7",""
"18276","Q6DKK2",""
"18277","Q8NDW8",""
"18278","Q7Z4L5",""
"18279","Q5TAA0",""
"18280","Q6PF05",""
"18281","Q5W5X9",""
"18282","A2A3L6",""
"18283","Q96NG3",""
"18284","A0AVF1",""
"18285","Q6P3X3",""
"18286","Q96AY4",""
"18287","Q8NA56",""
"18288","P53804",""
"18289","Q86WT1",""
"18290","Q8N4P2",""
"18291","Q49AM3",""
"18292","Q5I0X7",""
"18293","Q6PID6",""
"18294","A8MYJ7",""
"18295","A6NLP5",""
"18297","Q5R3I4",""
"18298","Q5SRH9",""
"18299","Q5VTQ0",""
"18300","Q8N584",""
"18301","O95801",""
"18302","Q6P2S7",""
"18303","Q8N0Z6",""
"18304","Q86TZ1",""
"18305","Q9ULT0",""
"18306","Q86TV6",""
"18307","Q8TAM2",""
"18308","Q92623",""
"18309","Q8N6N2",""
"18310","Q8N5M4",""
"18311","Q9C0D5",""
"18312","Q9HCD6",""
"18313","Q9P2T0",""
"18314","P0DJG4",""
"18315","Q9H3S4","hsa00730 hsa01100"
"18316","Q9BU02","hsa00730 hsa01100"
"18317","P52888","hsa04614 hsa05143"
"18318","Q5T1C6","hsa04151"
"18319","Q8N1Q8",""
"18320","Q8WUY1",""
"18321","P51580","hsa00983"
"18322","Q99757",""
"18323","Q6PKC3",""
"18324","O95881","hsa00480"
"18325","Q96J42",""
"18326","Q9P2K2",""
"18327","Q9BRA2",""
"18328","Q86VQ3",""
"18329","Q8NBS9","hsa04141"
"18330","Q6A555",""
"18331","O14530",""
"18332","Q9H3M7",""
"18333","O43396",""
"18334","P83876","hsa03040"
"18335","Q9NX01",""
"18336","Q16881","hsa00450"
"18337","Q9NNW7","hsa00450"
"18338","Q6F5E7",""
"18339","Q86VQ6","hsa00450"
"18340","Q9H3N1",""
"18341","Q9Y320",""
"18342","Q96JJ7",""
"18343","Q9H1E5",""
"18344","P10599",""
"18345","H0UI37",""
"18346","Q8NFU3",""
"18347","Q5T7W7",""
"18349","Q9NSU2","hsa04623"
"18350","Q9BQ50",""
"18351","Q8IYQ7",""
"18352","Q86YJ6",""
"18353","Q9BW92","hsa00970"
"18354","A2RTX5","hsa00970"
"18355","P26639","hsa00970"
"18356","P07204","hsa04610"
"18357","P40225","hsa04060 hsa04630 hsa04640"
"18358","P07996","hsa04015 hsa04115 hsa04145 hsa04151 hsa04350 hsa04510 hsa04512 hsa05144 hsa05205 hsa05206 hsa05219"
"18359","P35442","hsa04145 hsa04151 hsa04510 hsa04512 hsa05144"
"18360","P49746","hsa04145 hsa04151 hsa04510 hsa04512 hsa05144"
"18361","P35443","hsa04145 hsa04151 hsa04510 hsa04512 hsa05144"
"18362","Q9NS62",""
"18363","Q6ZMP0",""
"18364","Q9UPZ6",""
"18365","Q9C0I4",""
"18366","Q8WU66",""
"18367","P24557","hsa00590 hsa01100 hsa04611"
"18368","P21731","hsa04020 hsa04080 hsa04611"
"18369","Q969D9","hsa04060 hsa04630"
"18370","P04183","hsa00240 hsa00983 hsa01100"
"18371","O00142","hsa00240 hsa00983 hsa01100"
"18372","P19971","hsa00240 hsa00983 hsa01100 hsa05219"
"18374","Q13569","hsa03410"
"18375","A2RU30",""
"18376","Q9P016",""
"18377","Q5TEJ8",""
"18378","O94900",""
"18379","Q8N1K5",""
"18380","P42166, P42167",""
"18381","P63313",""
"18382","P0CG35, P0CG34",""
"18383","P62328","hsa04810"
"18384","O14604","hsa04810"
"18385","Q96M53",""
"18386","P01266","hsa04918 hsa05320"
"18387","Q6ZUT4",""
"18388","Q9Y2W1",""
"18389","P10828","hsa04080 hsa04919"
"18390","Q15642","hsa04910"
"18391","Q15643",""
"18393","Q15645",""
"18394","Q15650",""
"18395","Q15654","hsa04621"
"18396","P10827","hsa04080 hsa04919"
"18397","Q92748",""
"18398","P07202","hsa00350 hsa01100 hsa04918 hsa05320"
"18399","P01222","hsa04080 hsa04918 hsa04923 hsa05320"
"18400","P16473","hsa04024 hsa04080 hsa04918 hsa04923 hsa05320"
"18401","Q9UKU6",""
"18402","P34981","hsa04020 hsa04080"
"18403","P20396",""
"18404","Q96MW7",""
"18405","Q4W5G0",""
"18406","Q6B0B8",""
"18407","Q8IY51",""
"18408","Q53EQ6",""
"18409","Q17RP2",""
"18410","Q6NT04",""
"18411","Q5JTD0","hsa04530"
"18414","O95049","hsa04530"
"18415","Q9UNS1",""
"18416","P48307",""
"18417","P10646","hsa04610"
"18418","Q13630","hsa00051 hsa00520 hsa01100"
"18419","Q8WZ42","hsa05410 hsa05414"
"18420","O15273",""
"18421","Q9H0E2","hsa04620"
"18422","Q15399","hsa04620 hsa05152"
"18423","Q9BXR5",""
"18424","O60603","hsa04145 hsa04151 hsa04620 hsa05134 hsa05140 hsa05142 hsa05144 hsa05145 hsa05146 hsa05152 hsa05161 hsa05162 hsa05168 hsa05205 hsa05321 hsa05323"
"18425","O15455","hsa04620 hsa05160 hsa05161 hsa05164 hsa05168"
"18426","O00206","hsa04064 hsa04066 hsa04145 hsa04151 hsa04620 hsa05130 hsa05132 hsa05133 hsa05134 hsa05140 hsa05142 hsa05144 hsa05145 hsa05146 hsa05152 hsa05161 hsa05162 hsa05164 hsa05205 hsa05321 hsa05323"
"18427","O60602","hsa04620 hsa05130 hsa05132 hsa05134 hsa05321"
"18428","Q9Y2C9","hsa04145 hsa04620 hsa05142 hsa05152"
"18429","Q9NYK1","hsa04620 hsa05162 hsa05164"
"18430","Q9NR97","hsa04620"
"18431","Q9NR96","hsa04620 hsa05142 hsa05143 hsa05144 hsa05152 hsa05162 hsa05168"
"18432","Q8IUC6","hsa04064 hsa04620 hsa05133 hsa05142 hsa05160 hsa05161 hsa05164 hsa05168"
"18433","Q86XR7","hsa04064 hsa04620 hsa05133 hsa05161"
"18434","O43897",""
"18435","Q9Y6L7",""
"18436","Q96HA7",""
"18437","P11387",""
"18438","Q969P6",""
"18441","Q92547",""
"18442","Q13472","hsa03440 hsa03460"
"18443","O95985","hsa03440 hsa03460"
"18444","Q5JTV8",""
"18445","Q8NFQ8, Q9H496",""
"18446","O14656",""
"18447","O14657",""
"18448","Q5JU69, Q8N2E6",""
"18449","Q9H497",""
"18450","Q9NXH8",""
"18451","Q9UKI8",""
"18452","Q86UE8",""
"18453","Q96RJ0","hsa04080"
"18454","Q9P1P5","hsa04080"
"18455","Q9P1P4",""
"18456","O14804","hsa04080"
"18457","Q96RI8","hsa04080"
"18458","Q969N4","hsa04080"
"18459","Q96RI9","hsa04080"
"18460","Q9UPV9",""
"18461","O60296","hsa01100 hsa04727"
"18462","Q9Y5R8",""
"18463","P48553",""
"18464","Q7Z392",""
"18465","Q8WVT3",""
"18466","Q6ZNX1, A5PLN9",""
"18467","Q9UL33",""
"18468","P0DI81, P0DI82",""
"18469","Q5T215",""
"18470","O43617",""
"18471","Q9Y296",""
"18472","Q8IUR0",""
"18473","O75865",""
"18474","Q86SZ2",""
"18475","Q9Y2L5",""
"18476","Q96Q05",""
"18477","Q9NZ01","hsa00062 hsa01040 hsa01212"
"18478","Q5HYJ1",""
"18479","Q96EM0","hsa00330"
"18480","O43493",""
"18481","A6NH52",""
"18482","Q9NYZ1",""
"18483","Q96ET8",""
"18484","P37837","hsa00030 hsa01100 hsa01130 hsa01200 hsa01230"
"18485","P20061",""
"18486","P20062","hsa04977"
"18487","Q96MN5",""
"18488","Q8N8B7",""
"18489","Q15170",""
"18490","Q9H3H9",""
"18491","Q969E4",""
"18492","Q96EI5",""
"18493","Q5H9L2",""
"18494","Q6IPX3",""
"18495","Q9BRU2",""
"18496","Q8IYN2",""
"18497","Q9UHQ7",""
"18498","P23193",""
"18499","Q15560",""
"18500","O75764",""
"18501","Q15369","hsa04066 hsa04120 hsa05200 hsa05211"
"18502","Q15370","hsa04066 hsa04120 hsa05200 hsa05211"
"18503","Q14241",""
"18504","Q8IYF1",""
"18505","A6NLF2",""
"18506","A0A087WX78, Q3SY89",""
"18507","Q8NG57",""
"18508","Q96QE5",""
"18509","Q5VWI1",""
"18510","O14776","hsa03040"
"18511","Q99081",""
"18512","Q12870",""
"18513","Q9Y242",""
"18514","Q9UGU0",""
"18515","O43680",""
"18516","Q7RTU1",""
"18517","Q7RTU0",""
"18518","Q9BQ70",""
"18519","P15923","hsa04550 hsa05166 hsa05202"
"18520","P15884",""
"18521","P36402","hsa04310 hsa04390 hsa04520 hsa04916 hsa05200 hsa05210 hsa05213 hsa05215 hsa05216 hsa05217 hsa05221 hsa05412"
"18522","Q9HCS4","hsa04310 hsa04390 hsa04520 hsa04916 hsa05200 hsa05210 hsa05213 hsa05215 hsa05216 hsa05217 hsa05221 hsa05412"
"18523","Q9NQB0","hsa04310 hsa04390 hsa04520 hsa04916 hsa05200 hsa05210 hsa05213 hsa05215 hsa05216 hsa05217 hsa05221 hsa05412"
"18525","P05549",""
"18526","Q92481",""
"18527","Q7Z6R9",""
"18528","Q6VUC0",""
"18529","Q92754",""
"18530","Q01664","hsa05205"
"18531","Q8WVM0",""
"18532","Q9H5Q4",""
"18533","Q9NZI6",""
"18534","Q12800",""
"18535","Q5H9I0",""
"18536","Q14186","hsa04110 hsa04350"
"18537","Q14188","hsa04110"
"18538","P19484",""
"18539","O14948",""
"18540","P19532","hsa05202"
"18541","Q9UL49",""
"18542","Q15361","hsa04918"
"18543","Q9UNY4","hsa04918"
"18544","Q96BN2",""
"18545","O75478",""
"18546","Q86TJ2",""
"18547","O75528",""
"18548","Q96PN7",""
"18549","Q9UHF7",""
"18550","P50616","hsa03018"
"18551","Q14106","hsa03018"
"18552","Q9BZK7","hsa04310"
"18553","Q9BQ87","hsa04310"
"18554","O60907","hsa04310"
"18555","Q9Y4P3",""
"18557","Q04724",""
"18558","Q04725",""
"18559","Q04726",""
"18560","Q04727",""
"18561","Q9H808",""
"18562","Q9UP52",""
"18566","Q13595","hsa03040"
"18567","P62995","hsa03040"
"18568","O75410",""
"18569","O95359",""
"18570","Q9Y6A5","hsa03013"
"18571","P01135","hsa04012 hsa05200 hsa05211 hsa05212 hsa05214 hsa05215 hsa05223"
"18572","O43294",""
"18573","P01137","hsa04010 hsa04060 hsa04068 hsa04110 hsa04350 hsa04380 hsa04390 hsa04672 hsa04932 hsa05140 hsa05142 hsa05144 hsa05145 hsa05146 hsa05152 hsa05161 hsa05166 hsa05200 hsa05205 hsa05210 hsa05211 hsa05212 hsa05220 hsa05321 hsa05323 hsa05410 hsa05414"
"18574","P61812","hsa04010 hsa04060 hsa04068 hsa04110 hsa04350 hsa04380 hsa04390 hsa05140 hsa05142 hsa05144 hsa05145 hsa05146 hsa05152 hsa05161 hsa05166 hsa05200 hsa05205 hsa05206 hsa05210 hsa05211 hsa05212 hsa05220 hsa05321 hsa05323 hsa05410 hsa05414"
"18575","P10600","hsa04010 hsa04060 hsa04068 hsa04110 hsa04350 hsa04390 hsa05140 hsa05142 hsa05144 hsa05145 hsa05146 hsa05152 hsa05161 hsa05166 hsa05200 hsa05210 hsa05211 hsa05212 hsa05220 hsa05321 hsa05323 hsa05410 hsa05414"
"18576","Q15582",""
"18577","P36897","hsa04010 hsa04060 hsa04068 hsa04144 hsa04350 hsa04380 hsa04390 hsa04520 hsa05142 hsa05161 hsa05166 hsa05200 hsa05210 hsa05212 hsa05220"
"18578","P37173","hsa04010 hsa04060 hsa04068 hsa04144 hsa04350 hsa04380 hsa04390 hsa04520 hsa05142 hsa05166 hsa05200 hsa05202 hsa05210 hsa05212 hsa05220"
"18579","H3BV60",""
"18580","Q03167",""
"18581","Q8WUH2",""
"18582","Q3YBR2",""
"18583","Q969Z0",""
"18584","P37802",""
"18585","Q9UI15",""
"18586","Q01995",""
"18587","P22735",""
"18588","P21980","hsa05016"
"18589","Q08188",""
"18590","P49221",""
"18591","O43548",""
"18592","O95932",""
"18593","Q96PF1",""
"18594","O75762","hsa04750"
"18595","P48995","hsa04724 hsa04726 hsa04972"
"18596","Q13507",""
"18597","Q8TEL6",""
"18598","Q9UBN4",""
"18599","Q9UL62",""
"18600","Q9Y210","hsa04022"
"18601","Q9HCX4",""
"18602","Q7Z4N2",""
"18603","O94759","hsa04921"
"18604","Q9HCF6",""
"18605","Q8TD43","hsa04911"
"18606","Q9NZQ8","hsa04742"
"18607","Q9BX84","hsa04978"
"18608","Q96QT4","hsa04978"
"18609","Q7Z2W7","hsa04750"
"18610","Q8NER1","hsa04080 hsa04750"
"18611","Q9Y5S1","hsa04750"
"18612","Q8NET8","hsa04750"
"18613","Q9HBA0","hsa04750"
"18614","Q9NQA5","hsa04961"
"18615","Q9H1D0","hsa04970 hsa04978"
"18616","Q6ZNB5",""
"18617","P09430",""
"18618","Q05952",""
"18619","P51854","hsa00030 hsa01100 hsa01130 hsa01200 hsa01230"
"18620","Q9H0I9","hsa00030 hsa01100 hsa01130 hsa01200 hsa01230"
"18621","P29401","hsa00030 hsa01100 hsa01130 hsa01200 hsa01230"
"18622","A0A0U1RRK4",""
"18623","Q96EY4",""
"18624","Q9Y2S6",""
"18625","Q9BSH4",""
"18626","Q2TAA8",""
"18627","Q99598",""
"18628","Q15631",""
"18629","P62072",""
"18630","Q9Y5J6",""
"18631","Q9Y5L4",""
"18632","Q99595",""
"18633","O60830",""
"18634","Q9BVV7",""
"18635","Q9Y584",""
"18636","Q5SRD1",""
"18637","O14925",""
"18638","Q9BSF4",""
"18639","O43615",""
"18640","Q3ZCQ8",""
"18641","O60220",""
"18642","Q9Y5J9",""
"18643","Q9Y5J7",""
"18644","Q9NPL8",""
"18645","Q6UXN7",""
"18646","Q15388",""
"18647","Q9NS69",""
"18648","Q15785",""
"18649","Q969M1","hsa05014"
"18650","O96008","hsa05014"
"18651","Q8N4H5",""
"18652","Q96B49",""
"18653","Q9P0U1",""
"18654","O94826",""
"18656","Q15629","hsa04141"
"18657","Q8N609",""
"18658","Q15035",""
"18659","Q5TGU0",""
"18660","B1AH88, P30536","hsa04080 hsa05166"
"18661","P30408",""
"18662","Q96CE8",""
"18663","Q96DZ7",""
"18664","Q53R12",""
"18665","P48230",""
"18666","O14894",""
"18667","Q9BZW5",""
"18668","Q9BZW4",""
"18669","O76062","hsa00100 hsa01100 hsa01130"
"18670","Q9NS93",""
"18671","O15321",""
"18672","Q99805",""
"18673","Q9HD45",""
"18674","Q92544",""
"18675","Q969X1",""
"18676","Q9HC24",""
"18677","P55061",""
"18678","O94876",""
"18679","O75069",""
"18680","Q9ULS5",""
"18681","Q9UM00",""
"18682","Q7Z6W1",""
"18683","Q6UWJ1",""
"18684","Q5TGY1",""
"18685","Q8N6Q1",""
"18686","A8MYB1",""
"18687","Q96DC7",""
"18688","Q6UXZ0",""
"18689","Q96BF3",""
"18690","P0DMS9",""
"18691","Q8IUR5",""
"18692","Q8N394",""
"18693","Q6ZXV5",""
"18694","Q5T4D3",""
"18695","Q9BVT8",""
"18696","Q71RG4",""
"18697","Q6NXT6",""
"18698","Q8TDI8",""
"18699","Q8TDI7",""
"18700","Q7Z5M5",""
"18701","Q7Z404",""
"18702","Q6UXY8",""
"18703","Q7Z403",""
"18704","Q7Z402",""
"18705","Q8IU68",""
"18706","A6NDX4",""
"18707","Q5T9Z0",""
"18708","Q8NEW7",""
"18709","Q13445",""
"18710","P49755",""
"18711","Q15363",""
"18712","Q9Y3Q3",""
"18713","Q7Z7H5",""
"18714","Q9Y3A6",""
"18715","Q8WW62",""
"18716","Q9Y3B3",""
"18717","Q9BVK6",""
"18718","Q6PL24",""
"18719","P56180",""
"18720","Q5T6R2",""
"18721","Q6XPS3",""
"18722","Q6ZMR5",""
"18723","Q86T26",""
"18724","O60235",""
"18725","Q9UL52",""
"18726","Q6ZWK6",""
"18727","Q86WS5",""
"18728","Q9BYE2","hsa05164"
"18729","P98073",""
"18730","O15393","hsa05164 hsa05202"
"18731","P57727",""
"18732","Q9NRS4","hsa05164"
"18733","Q9H3S3",""
"18734","Q8IU80",""
"18735","Q7RTY8",""
"18736","Q7Z410",""
"18737","Q9NV29",""
"18738","Q96IK0",""
"18739","Q8N9M5",""
"18740","Q8NE00",""
"18741","Q8N8V8",""
"18742","Q96A25",""
"18743","Q9NUM4",""
"18744","Q9BVX2",""
"18745","Q6UX40",""
"18746","Q6UXF1",""
"18747","Q9BVC6",""
"18748","P17152",""
"18749","Q86TL2",""
"18750","B3SHH9",""
"18751","Q12893",""
"18752","Q8NCL8",""
"18753","Q9H0C3",""
"18754","Q4V9L6",""
"18755","Q9BXJ8",""
"18756","A0PK00",""
"18757","Q9BTD3",""
"18758","Q8N131",""
"18759","Q96AQ2",""
"18760","Q9H061",""
"18761","Q8IUX1",""
"18762","O75204",""
"18763","Q5BJH2",""
"18764","A0AVI4",""
"18765","Q8N3G9",""
"18766","Q92545",""
"18767","Q24JP5",""
"18768","Q14DG7",""
"18769","Q8N3T6",""
"18770","Q14C87",""
"18771","Q6IEE7",""
"18772","Q9H6X4",""
"18773","Q86UB9",""
"18774","Q6ZRR5",""
"18775","Q9NPI0",""
"18776","Q8IV31",""
"18777","Q9NV12",""
"18778","Q96I45",""
"18779","Q96AN5",""
"18780","Q7Z5S9",""
"18781","Q8NBT3",""
"18782","Q9BVK8",""
"18783","Q9Y6G1",""
"18784","Q9NUH8",""
"18785","Q9P0S9",""
"18786","A8MWL7",""
"18787","Q6UXP3",""
"18788","Q86TG1",""
"18789","A6NC51",""
"18790","B9EJG8",""
"18791","Q8N4L1",""
"18792","Q8IW70",""
"18793","Q6P9G4",""
"18794","Q4W5P6",""
"18795","Q8N614",""
"18796","Q8WZ71",""
"18797","Q96B96",""
"18798","Q9NX00",""
"18799","Q9NX61",""
"18800","Q8NDZ6",""
"18801","Q8TC26",""
"18802","Q5U3C3",""
"18803","Q9HC07",""
"18804","Q8TBQ9",""
"18805","Q9NRX6",""
"18806","Q9H0V1",""
"18807","Q96HH4",""
"18808","Q86X19",""
"18809","Q8WVE7",""
"18810","Q5T4T1",""
"18811","Q8WVE6",""
"18812","Q86WV6","hsa04622 hsa04623"
"18813","Q8WUU8",""
"18814","Q9BSA9",""
"18815","Q96HP8",""
"18816","Q3YBM2",""
"18817","Q53S58",""
"18818","Q8NBL3",""
"18819","H3BS89",""
"18820","Q6ZVK1",""
"18821","Q7Z7N9",""
"18822","Q96B42",""
"18823","Q9P2C4",""
"18824","Q6ZP80",""
"18825","Q8IXX5",""
"18826","Q1AE95",""
"18827","Q6ZMB5",""
"18828","Q9Y519",""
"18829","Q9NVA4",""
"18830","Q8NFB2",""
"18831","Q9H7F4",""
"18832","Q96B77",""
"18833","Q14656",""
"18834","A5PLL7",""
"18835","Q96HH6",""
"18836","Q8WZ59",""
"18837","Q9H0A3",""
"18838","P0C7N4",""
"18839","A6NGB0",""
"18840","Q8IY95",""
"18841","Q5HYL7",""
"18842","Q66K66",""
"18843","Q8N511",""
"18844","Q9UHN6",""
